k=8 N=16 C=0.2500 samples/j=2000000
  j= 0 P(J=j)=7.7700e-05  k!p_j=1 +- 0  term=7.77e-05
  j= 1 P(J=j)=4.9728e-03  k!p_j=1.5725 +- 0.178  term=0.0078196
  j= 2 P(J=j)=6.0917e-02  k!p_j=2.016 +- 0.202  term=0.12281
  j= 3 P(J=j)=2.4367e-01  k!p_j=4.7174 +- 0.308  term=1.1495
  j= 4 P(J=j)=3.8073e-01  k!p_j=12.802 +- 0.508  term=4.874
  j= 5 P(J=j)=2.4367e-01  k!p_j=45.36 +- 0.956  term=11.053
  j= 6 P(J=j)=6.0917e-02  k!p_j=254.04 +- 2.26  term=15.475
  j= 7 P(J=j)=4.9728e-03  k!p_j=2256.5 +- 6.55  term=11.221
  j= 8 P(J=j)=7.7700e-05  k!p_j=40320 +- 0  term=3.1329
  R_avg=47.03594 +- 0.34260  lnR=3.8509
