k=9 N=24 C=0.2963 samples/j=2000000
  j= 0 P(J=j)=3.8279e-03  k!p_j=1 +- 0  term=0.0038279
  j= 1 P(J=j)=4.4294e-02  k!p_j=0.54432 +- 0.314  term=0.02411
  j= 2 P(J=j)=1.7718e-01  k!p_j=1.2701 +- 0.48  term=0.22503
  j= 3 P(J=j)=3.2154e-01  k!p_j=4.536 +- 0.907  term=1.4585
  j= 4 P(J=j)=2.8939e-01  k!p_j=14.152 +- 1.6  term=4.0955
  j= 5 P(J=j)=1.3154e-01  k!p_j=42.82 +- 2.79  term=5.6326
  j= 6 P(J=j)=2.9231e-02  k!p_j=205.75 +- 6.11  term=6.0144
  j= 7 P(J=j)=2.8910e-03  k!p_j=1448.8 +- 16.2  term=4.1885
  j= 8 P(J=j)=1.0325e-04  k!p_j=16054 +- 52.8  term=1.6576
  j= 9 P(J=j)=7.6482e-07  k!p_j=3.6288e+05 +- 0  term=0.27754
  R_avg=23.57759 +- 0.68998  lnR=3.1603
