k=8 N=64 C=1.0000 samples/j=2000000
  j= 0 P(J=j)=3.2093e-01  k!p_j=1 +- 0  term=0.32093
  j= 1 P(J=j)=4.1918e-01  k!p_j=1.2298 +- 0.157  term=0.51549
  j= 2 P(J=j)=2.0540e-01  k!p_j=2.1974 +- 0.21  term=0.45135
  j= 3 P(J=j)=4.8328e-02  k!p_j=4.1328 +- 0.289  term=0.19973
  j= 4 P(J=j)=5.8087e-03  k!p_j=12.761 +- 0.507  term=0.074127
  j= 5 P(J=j)=3.5071e-04  k!p_j=45.582 +- 0.958  term=0.015986
  j= 6 P(J=j)=9.7421e-06  k!p_j=257.73 +- 2.27  term=0.0025108
  j= 7 P(J=j)=1.0122e-07  k!p_j=2248.1 +- 6.54  term=0.00022754
  j= 8 P(J=j)=2.2593e-10  k!p_j=40320 +- 0  term=9.1095e-06
  R_avg=1.58035 +- 0.08018  lnR=0.4576
