k=10 N=100 C=1.0000 samples/j=2000000
  j= 0 P(J=j)=3.3048e-01  k!p_j=1 +- 0  term=0.33048
  j= 1 P(J=j)=4.0800e-01  k!p_j=1.8144 +- 1.81  term=0.74027
  j= 2 P(J=j)=2.0151e-01  k!p_j=3.6288 +- 2.57  term=0.73124
  j= 3 P(J=j)=5.1794e-02  k!p_j=1.8144 +- 1.81  term=0.093974
  j= 4 P(J=j)=7.5532e-03  k!p_j=10.886 +- 4.44  term=0.082228
  j= 5 P(J=j)=6.3980e-04  k!p_j=39.917 +- 8.51  term=0.025539
  j= 6 P(J=j)=3.0998e-05  k!p_j=159.67 +- 17  term=0.0049494
  j= 7 P(J=j)=8.1440e-07  k!p_j=1119.5 +- 45.1  term=0.00091171
  j= 8 P(J=j)=1.0411e-08  k!p_j=9747 +- 133  term=0.00010148
  j= 9 P(J=j)=5.1992e-11  k!p_j=1.3243e+05 +- 481  term=6.8852e-06
  j=10 P(J=j)=5.7769e-14  k!p_j=3.6288e+06 +- 0  term=2.0963e-07
  R_avg=2.00969 +- 0.90848  lnR=0.6980
