k=10 N=25 C=0.2500 samples/j=2000000
  j= 0 P(J=j)=9.1870e-04  k!p_j=1 +- 0  term=0.0009187
  j= 1 P(J=j)=1.5312e-02  k!p_j=1.8144 +- 1.81  term=0.027781
  j= 2 P(J=j)=8.8589e-02  k!p_j=1.8144 +- 1.81  term=0.16074
  j= 3 P(J=j)=2.3624e-01  k!p_j=10.886 +- 4.44  term=2.5718
  j= 4 P(J=j)=3.2154e-01  k!p_j=10.886 +- 4.44  term=3.5005
  j= 5 P(J=j)=2.3151e-01  k!p_j=48.989 +- 9.43  term=11.341
  j= 6 P(J=j)=8.7694e-02  k!p_j=177.81 +- 18  term=15.593
  j= 7 P(J=j)=1.6704e-02  k!p_j=1222.9 +- 47.1  term=20.427
  j= 8 P(J=j)=1.4455e-03  k!p_j=9727 +- 133  term=14.06
  j= 9 P(J=j)=4.5889e-05  k!p_j=1.3159e+05 +- 480  term=6.0387
  j=10 P(J=j)=3.0593e-07  k!p_j=3.6288e+06 +- 0  term=1.1101
  R_avg=74.83227 +- 3.32748  lnR=4.3152
