k=8 N=19 C=0.2969 samples/j=2000000
  j= 0 P(J=j)=2.1831e-03  k!p_j=1 +- 0  term=0.0021831
  j= 1 P(J=j)=3.4929e-02  k!p_j=1.4112 +- 0.169  term=0.049292
  j= 2 P(J=j)=1.7115e-01  k!p_j=1.8749 +- 0.194  term=0.32089
  j= 3 P(J=j)=3.4230e-01  k!p_j=4.3344 +- 0.296  term=1.4837
  j= 4 P(J=j)=3.0563e-01  k!p_j=12.439 +- 0.501  term=3.8016
  j= 5 P(J=j)=1.2225e-01  k!p_j=46.187 +- 0.964  term=5.6464
  j= 6 P(J=j)=2.0375e-02  k!p_j=257.56 +- 2.27  term=5.2479
  j= 7 P(J=j)=1.1643e-03  k!p_j=2249.3 +- 6.54  term=2.6188
  j= 8 P(J=j)=1.3231e-05  k!p_j=40320 +- 0  term=0.53346
  R_avg=19.70427 +- 0.22560  lnR=2.9808
