k=8 N=32 C=0.5000 samples/j=2000000
  j= 0 P(J=j)=6.9923e-02  k!p_j=1 +- 0  term=0.069923
  j= 1 P(J=j)=2.6324e-01  k!p_j=1.4515 +- 0.171  term=0.3821
  j= 2 P(J=j)=3.5830e-01  k!p_j=2.3587 +- 0.218  term=0.84513
  j= 3 P(J=j)=2.2629e-01  k!p_j=4.9795 +- 0.317  term=1.1268
  j= 4 P(J=j)=7.0717e-02  k!p_j=12.358 +- 0.499  term=0.87392
  j= 5 P(J=j)=1.0776e-02  k!p_j=46.872 +- 0.972  term=0.50509
  j= 6 P(J=j)=7.3472e-04  k!p_j=255.75 +- 2.26  term=0.1879
  j= 7 P(J=j)=1.8254e-05  k!p_j=2247.1 +- 6.54  term=0.041018
  j= 8 P(J=j)=9.5072e-08  k!p_j=40320 +- 0  term=0.0038333
  R_avg=4.03575 +- 0.12095  lnR=1.3952
