k=10 N=50 C=0.5000 samples/j=2000000
  j= 0 P(J=j)=8.2519e-02  k!p_j=1 +- 0  term=0.082519
  j= 1 P(J=j)=2.6619e-01  k!p_j=1.8144 +- 1.81  term=0.48298
  j= 2 P(J=j)=3.3690e-01  k!p_j=0 +- 0  term=0
  j= 3 P(J=j)=2.1779e-01  k!p_j=3.6288 +- 2.57  term=0.79033
  j= 4 P(J=j)=7.8469e-02  k!p_j=10.886 +- 4.44  term=0.85425
  j= 5 P(J=j)=1.6142e-02  k!p_j=34.474 +- 7.91  term=0.55648
  j= 6 P(J=j)=1.8683e-03  k!p_j=172.37 +- 17.7  term=0.32204
  j= 7 P(J=j)=1.1542e-04  k!p_j=1106.8 +- 44.8  term=0.12774
  j= 8 P(J=j)=3.4170e-06  k!p_j=9710.7 +- 133  term=0.033181
  j= 9 P(J=j)=3.8940e-08  k!p_j=1.3175e+05 +- 480  term=0.0051304
  j=10 P(J=j)=9.7349e-11  k!p_j=3.6288e+06 +- 0  term=0.00035326
  R_avg=3.25500 +- 0.82741  lnR=1.1802
