k=8 N=320 C=5.0000 samples/j=20000000
  j= 0 P(J=j)=8.1479e-01  k!p_j=1 +- 0  term=0.81479
  j= 1 P(J=j)=1.7097e-01  k!p_j=1.3447 +- 0.0521  term=0.2299
  j= 2 P(J=j)=1.3689e-02  k!p_j=2.2478 +- 0.0673  term=0.030771
  j= 3 P(J=j)=5.3507e-04  k!p_j=4.3949 +- 0.0941  term=0.0023516
  j= 4 P(J=j)=1.0858e-05  k!p_j=12.209 +- 0.157  term=0.00013256
  j= 5 P(J=j)=1.1244e-07  k!p_j=46.33 +- 0.305  term=5.2095e-06
  j= 6 P(J=j)=5.4408e-10  k!p_j=255.93 +- 0.716  term=1.3925e-07
  j= 7 P(J=j)=9.9969e-13  k!p_j=2241.4 +- 2.07  term=2.2407e-09
  j= 8 P(J=j)=4.0052e-16  k!p_j=40320 +- 0  term=1.6149e-11
  R_avg=1.07795 +- 0.00895  lnR=0.0751
