k=9 N=20 C=0.2469 samples/j=2000000
  j= 0 P(J=j)=3.2746e-04  k!p_j=1 +- 0  term=0.00032746
  j= 1 P(J=j)=8.8414e-03  k!p_j=1.8144 +- 0.574  term=0.016042
  j= 2 P(J=j)=7.0731e-02  k!p_j=2.3587 +- 0.654  term=0.16683
  j= 3 P(J=j)=2.3106e-01  k!p_j=5.2618 +- 0.977  term=1.2158
  j= 4 P(J=j)=3.4658e-01  k!p_j=12.156 +- 1.49  term=4.2132
  j= 5 P(J=j)=2.4756e-01  k!p_j=40.098 +- 2.7  term=9.9267
  j= 6 P(J=j)=8.2520e-02  k!p_j=218.64 +- 6.3  term=18.042
  j= 7 P(J=j)=1.1789e-02  k!p_j=1461.7 +- 16.3  term=17.231
  j= 8 P(J=j)=5.8943e-04  k!p_j=16095 +- 52.8  term=9.487
  j= 9 P(J=j)=5.9538e-06  k!p_j=3.6288e+05 +- 0  term=2.1605
  R_avg=62.45915 +- 1.03515  lnR=4.1345
