k=9 N=40 C=0.4938 samples/j=2000000
  j= 0 P(J=j)=7.3728e-02  k!p_j=1 +- 0  term=0.073728
  j= 1 P(J=j)=2.5965e-01  k!p_j=1.0886 +- 0.444  term=0.28267
  j= 2 P(J=j)=3.4620e-01  k!p_j=2.1773 +- 0.629  term=0.75378
  j= 3 P(J=j)=2.2618e-01  k!p_j=6.8947 +- 1.12  term=1.5595
  j= 4 P(J=j)=7.8295e-02  k!p_j=13.245 +- 1.55  term=1.037
  j= 5 P(J=j)=1.4499e-02  k!p_j=43.908 +- 2.82  term=0.63663
  j= 6 P(J=j)=1.3809e-03  k!p_j=206.3 +- 6.12  term=0.28487
  j= 7 P(J=j)=6.1220e-05  k!p_j=1467.7 +- 16.3  term=0.089851
  j= 8 P(J=j)=1.0203e-06  k!p_j=16108 +- 52.8  term=0.016436
  j= 9 P(J=j)=3.6571e-09  k!p_j=3.6288e+05 +- 0  term=0.0013271
  R_avg=4.73578 +- 0.37569  lnR=1.5551
