r3per	9	122	1	1 2 3 1 2 3 1 2 3
r3per	9	122	2	1 2 3 1 2 3 1 2 3
r3sum	9	122	1	1 1 1 2 2 2 3 3 3
r3sum	9	122	2	1 1 1 2 2 2 3 3 3
r3blk	9	122	1	1 1 2 2 3 3 1 2 3
r3blk	9	122	2	1 1 2 2 3 3 1 2 3
r3rnd	9	122	1	1 3 3 3 1 2 2 1 2
r3rnd	9	122	2	1 3 3 3 1 2 2 1 2
r3per	15	338	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3per	15	338	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3sum	15	338	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3sum	15	338	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3blk	15	338	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3blk	15	338	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3rnd	15	338	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
r3rnd	15	338	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
id	8	96	1	1 1 1 1 1 1 1 1
id	8	96	2	1 1 1 1 1 1 1 1
r2per	8	96	1	1 2 1 2 1 2 1 2
r2per	8	96	2	1 2 1 2 1 2 1 2
r2sum	8	96	1	1 1 1 1 2 2 2 2
r2sum	8	96	2	1 1 1 1 2 2 2 2
r2blk	8	96	1	1 1 2 2 1 1 2 2
r2blk	8	96	2	1 1 2 2 1 1 2 2
r2rnd	8	96	1	1 2 2 1 2 1 1 2
r2rnd	8	96	2	1 2 2 1 2 1 1 2
id	12	216	1	1 1 1 1 1 1 1 1 1 1 1 1
id	12	216	2	1 1 1 1 1 1 1 1 1 1 1 1
r2per	12	216	1	1 2 1 2 1 2 1 2 1 2 1 2
r2per	12	216	2	1 2 1 2 1 2 1 2 1 2 1 2
r2sum	12	216	1	1 1 1 1 1 1 2 2 2 2 2 2
r2sum	12	216	2	1 1 1 1 1 1 2 2 2 2 2 2
r2blk	12	216	1	1 1 1 2 2 2 1 1 1 2 2 2
r2blk	12	216	2	1 1 1 2 2 2 1 1 1 2 2 2
r2rnd	12	216	1	1 1 2 2 1 1 1 2 2 2 1 2
r2rnd	12	216	2	1 1 2 2 1 1 1 2 2 2 1 2
r3per	12	216	1	1 2 3 1 2 3 1 2 3 1 2 3
r3per	12	216	2	1 2 3 1 2 3 1 2 3 1 2 3
r3sum	12	216	1	1 1 1 1 2 2 2 2 3 3 3 3
r3sum	12	216	2	1 1 1 1 2 2 2 2 3 3 3 3
r3blk	12	216	1	1 1 2 2 3 3 1 1 2 2 3 3
r3blk	12	216	2	1 1 2 2 3 3 1 1 2 2 3 3
r3rnd	12	216	1	3 1 3 2 3 2 2 1 3 2 1 1
r3rnd	12	216	2	3 1 3 2 3 2 2 1 3 2 1 1
id	16	384	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	16	384	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	16	384	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	16	384	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	16	384	1	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2sum	16	384	2	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2blk	16	384	1	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2blk	16	384	2	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2rnd	16	384	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
r2rnd	16	384	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
id	20	600	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	20	600	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	20	600	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	20	600	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	20	600	1	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2sum	20	600	2	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2blk	20	600	1	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
