id	16	160	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	16	160	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	16	160	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	16	160	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2rnd	16	160	11	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
r2rnd	16	160	12	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
id	20	250	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	20	250	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	20	250	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	20	250	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2blk	20	250	11	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2blk	20	250	12	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2rnd	20	250	11	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r2rnd	20	250	12	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r3per	12	90	11	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3per	12	90	12	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3blk	12	90	11	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3blk	12	90	12	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3rnd	12	90	11	3 1 3 2 3 2 2 1 3 2 1 1	25000
r3rnd	12	90	12	3 1 3 2 3 2 2 1 3 2 1 1	25000
id	16	144	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	16	144	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	16	144	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	16	144	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2rnd	16	144	11	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
r2rnd	16	144	12	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
id	20	225	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	20	225	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	20	225	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	20	225	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2blk	20	225	11	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2blk	20	225	12	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2rnd	20	225	11	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r2rnd	20	225	12	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r3per	12	81	11	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3per	12	81	12	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3blk	12	81	11	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3blk	12	81	12	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3rnd	12	81	11	3 1 3 2 3 2 2 1 3 2 1 1	25000
r3rnd	12	81	12	3 1 3 2 3 2 2 1 3 2 1 1	25000
id	16	128	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	16	128	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	16	128	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	16	128	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2rnd	16	128	11	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
r2rnd	16	128	12	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	25000
id	20	200	11	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
id	20	200	12	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	25000
r2per	20	200	11	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2per	20	200	12	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	25000
r2blk	20	200	11	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2blk	20	200	12	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	25000
r2rnd	20	200	11	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r2rnd	20	200	12	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	25000
r3per	12	72	11	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3per	12	72	12	1 2 3 1 2 3 1 2 3 1 2 3	25000
r3blk	12	72	11	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3blk	12	72	12	1 1 2 2 3 3 1 1 2 2 3 3	25000
r3rnd	12	72	11	3 1 3 2 3 2 2 1 3 2 1 1	25000
r3rnd	12	72	12	3 1 3 2 3 2 2 1 3 2 1 1	25000
r2per	8	28	1	1 2 1 2 1 2 1 2	2000
r2per	8	28	2	1 2 1 2 1 2 1 2	2000
r2rnd	8	28	1	1 2 2 1 2 1 1 2	2000
r2rnd	8	28	2	1 2 2 1 2 1 1 2	2000
r2per	12	63	1	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	12	63	2	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	16	112	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	16	112	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
