host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,53428,146028,127751441,26478,466,3356,8920,15582,19590,21150,23536,0,53428,0,0,0,2,4,1,1,1,1,1,1,1
1,37612,79550,174383273,23092,412,2510,6350,8912,8914,7920,6920,0,37612,0,0,0,2,4,1,0,0,0,0,0,0
2,61448,173838,88232695,29614,1184,7484,17684,24406,23914,18552,19166,0,61448,0,0,0,2,4,1,0,0,0,4,16,1
3,26465,50879,262694607,17452,190,824,2124,3094,3864,6614,7704,0,26465,1,1,1,0,0,0,0,0,0,3,9,1
4,37956,111656,212903289,18792,266,2624,7754,12632,14882,14536,21006,0,37956,2,4,1,1,1,1,2,4,1,1,1,1
5,29861,65539,197208607,18111,164,1400,3748,6082,7158,8058,9068,0,29861,0,0,0,0,0,0,0,0,0,1,1,1
6,49315,118965,131740453,27104,770,4804,11700,16260,15360,12084,8672,0,49315,3,9,1,2,4,1,1,1,1,0,0,0
7,42710,105992,168962423,23351,430,2570,6728,11324,13040,13236,15954,0,42710,0,0,0,1,1,1,1,1,1,0,0,0
8,51608,124740,130196325,27621,952,6256,14830,17210,13596,10982,9306,0,51608,0,0,0,1,1,1,2,4,1,1,1,1
9,29174,69924,266766597,18096,406,2158,5068,8378,9088,6580,9072,0,29174,1,1,1,0,0,0,1,1,1,4,16,1
10,29644,67080,322906631,17335,446,1570,3340,6152,8170,9762,7996,0,29644,2,4,1,0,0,0,0,0,0,2,4,1
11,45809,114167,170683303,24416,452,4134,10638,13770,13754,12880,12730,0,45809,0,0,0,2,4,1,3,9,1,2,4,1
12,45539,115931,138914187,23832,590,2894,8802,15168,15884,12976,14078,0,45539,0,0,0,0,0,0,0,0,0,6,36,1
13,30696,69252,210412403,17802,204,792,2386,4646,7444,6394,16690,0,30696,0,0,0,0,0,0,1,1,1,2,4,1
14,55397,154091,115519033,27066,796,5692,14550,20398,21180,19952,16126,0,55397,1,1,1,2,4,1,1,1,1,0,0,0
15,32733,74315,164790831,19673,206,1518,4608,7572,8854,9084,9740,0,32733,1,1,1,0,0,0,0,0,0,0,0,0
16,36690,79150,167940133,22040,178,2004,5430,8398,9222,9010,8218,0,36690,2,4,1,0,0,0,0,0,0,0,0,0
17,26223,52417,260064191,16821,130,720,1920,3948,6316,6310,6850,0,26223,1,1,1,1,1,1,0,0,0,1,1,1
18,20548,43340,359643443,12845,30,350,1476,3300,4774,5802,7060,0,20548,0,0,0,0,0,0,0,0,0,1,1,1
19,43404,106656,161578145,23657,530,3390,7850,11296,12888,13816,13482,0,43404,1,1,1,0,0,0,0,0,0,0,0,0
20,44168,125048,150943025,22001,482,2976,7964,13176,17666,15778,22838,0,44168,4,16,1,1,1,1,4,16,1,0,0,0
21,39185,88099,124399655,22726,310,1830,4504,7350,9568,11678,13674,0,39185,1,1,1,3,9,1,0,0,0,1,1,1
22,24382,58692,247938477,14196,272,1192,3500,5432,6862,7632,9420,0,24382,0,0,0,0,0,0,0,0,0,0,0,0
23,33116,87934,234861075,17457,536,3616,8310,11012,10586,9094,11664,0,33116,4,16,1,1,1,1,4,16,1,1,1,1
24,44863,122441,157179115,23004,868,4432,9832,13114,13708,13684,21940,0,44863,0,0,0,3,9,1,2,4,1,5,25,1
