host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
338,7477,10175,2397320,6267,8,48,98,170,372,792,1210,0,7477,0,0,0,0,0,0,0,0,0,0,0,0
339,9933,17183,1820022,7239,8,44,280,838,1240,1618,3222,0,9933,0,0,0,0,0,0,0,0,0,1,1,1
340,9646,14490,1702510,7600,0,20,172,588,916,1440,1708,0,9646,0,0,0,0,0,0,1,1,1,2,4,1
341,14103,22743,1178546,10776,6,92,324,994,2084,2386,2754,0,14103,0,0,0,0,0,0,1,1,1,1,1,1
342,9490,14144,1849326,7669,6,66,296,602,870,1408,1406,0,9490,0,0,0,0,0,0,0,0,0,2,4,1
343,8400,13810,2701390,6381,0,48,208,584,1098,1744,1728,0,8400,0,0,0,0,0,0,1,1,1,0,0,0
344,4193,6235,3785776,3310,4,12,44,150,232,866,734,0,4193,0,0,0,0,0,0,0,0,0,2,4,1
345,5617,8075,3266104,4669,4,44,146,362,520,674,708,0,5617,2,4,1,0,0,0,0,0,0,0,0,0
346,10701,16777,2120864,8243,2,32,252,756,1302,1726,2006,0,10701,0,0,0,0,0,0,0,0,0,0,0,0
347,4439,6131,3661982,3683,0,0,4,58,186,654,790,0,4439,0,0,0,0,0,0,0,0,0,0,0,0
348,4346,7858,5384702,3016,0,10,60,208,414,1114,1706,0,4346,2,4,1,0,0,0,0,0,0,0,0,0
349,4717,6509,4637002,3925,0,4,6,66,288,628,800,0,4717,0,0,0,0,0,0,2,4,1,0,0,0
350,5220,8138,6156090,4064,0,8,38,230,504,994,1144,0,5220,0,0,0,0,0,0,0,0,0,0,0,0
351,8942,11138,2098002,7944,0,18,182,526,630,390,450,0,8942,1,1,1,0,0,0,1,1,1,0,0,0
352,7699,10859,1972240,6340,0,6,66,254,698,584,1552,0,7699,3,9,1,0,0,0,0,0,0,0,0,0
353,6471,9045,2293982,5354,2,16,28,144,342,744,1298,0,6471,0,0,0,0,0,0,0,0,0,0,0,0
354,7095,9821,1996026,5927,0,34,104,148,310,396,1734,0,7095,0,0,0,0,0,0,0,0,0,1,1,1
355,10120,15760,1982838,7906,0,24,228,710,1192,1568,1918,0,10120,0,0,0,1,1,1,1,1,1,0,0,0
356,9680,12994,1603358,8249,0,0,34,188,536,1286,1270,0,9680,0,0,0,2,4,1,0,0,0,0,0,0
357,4858,6132,3982164,4283,2,12,16,88,200,440,516,0,4858,0,0,0,0,0,0,0,0,0,0,0,0
358,16128,23584,1025566,12922,0,44,440,1214,1908,2404,1446,0,16128,0,0,0,0,0,0,0,0,0,0,0,0
359,7040,12718,2911562,4945,2,28,130,366,834,896,3422,0,7040,0,0,0,0,0,0,0,0,0,0,0,0
360,6495,9935,3100636,5123,2,6,92,292,620,1048,1380,0,6495,0,0,0,0,0,0,0,0,0,0,0,0
361,18260,29564,1031732,13808,2,68,702,2014,2986,2972,2560,0,18260,0,0,0,1,1,1,0,0,0,2,4,1
362,4410,6002,4810402,3686,0,2,28,94,214,502,752,0,4410,0,0,0,1,1,1,0,0,0,1,1,1
363,5528,7348,2982236,4753,0,2,36,102,258,482,940,0,5528,0,0,0,0,0,0,0,0,0,0,0,0
364,8427,11255,1676464,7204,4,56,120,326,552,714,1056,0,8427,0,0,0,0,0,0,0,0,0,0,0,0
365,5885,6873,3194528,5422,0,0,28,122,196,328,314,0,5885,0,0,0,0,0,0,0,0,0,0,0,0
366,3118,5724,6076440,2115,0,0,6,60,194,186,2160,0,3118,0,0,0,0,0,0,0,0,0,1,1,1
367,5094,7414,3189038,4136,0,4,44,70,328,270,1604,0,5094,0,0,0,0,0,0,0,0,0,0,0,0
368,14784,23316,1177626,11238,6,96,438,1204,1772,1820,3196,0,14784,0,0,0,0,0,0,1,1,1,0,0,0
369,7786,10912,2043908,6450,2,12,122,380,578,1248,784,0,7786,0,0,0,0,0,0,0,0,0,0,0,0
370,5791,9981,4564486,4232,0,6,56,326,608,1356,1838,0,5791,0,0,0,0,0,0,0,0,0,0,0,0
371,9187,12397,1875408,7758,4,30,126,402,694,974,980,0,9187,0,0,0,1,1,1,0,0,0,0,0,0
372,3109,3501,5399922,2919,0,0,12,62,100,102,116,0,3109,0,0,0,0,0,0,0,0,0,0,0,0
373,6038,8780,3948726,4897,0,20,96,262,554,850,960,0,6038,1,1,1,0,0,0,0,0,0,0,0,0
374,8638,13410,1954850,6726,2,46,194,402,666,1320,2142,0,8638,0,0,0,0,0,0,0,0,0,0,0,0
375,8788,11150,1691286,7746,0,10,30,234,294,602,1192,0,8788,0,0,0,0,0,0,0,0,0,0,0,0
