host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,633,1019,38921,468,0,24,102,134,126,0,633,1,1,1,1,1,1,2,4,1,0,0,0
1,276,342,81045,243,0,0,6,28,32,0,276,2,4,1,0,0,0,1,1,1,0,0,0
2,526,826,39743,401,2,16,64,96,122,0,526,0,0,0,0,0,0,0,0,0,0,0,0
3,542,754,39079,442,8,18,50,108,28,0,542,0,0,0,1,1,1,0,0,0,0,0,0
4,492,718,43053,386,2,10,66,90,58,0,492,0,0,0,1,1,1,1,1,1,0,0,0
5,322,440,66493,267,0,0,4,52,62,0,322,0,0,0,2,4,1,0,0,0,1,1,1
6,327,439,82773,274,0,2,12,42,56,0,327,2,4,1,0,0,0,1,1,1,0,0,0
7,394,506,42743,340,0,0,30,42,40,0,394,0,0,0,0,0,0,1,1,1,0,0,0
8,445,705,56399,332,0,12,36,130,82,0,445,1,1,1,0,0,0,2,4,1,0,0,0
9,789,1361,28073,547,8,78,166,166,154,0,789,0,0,0,1,1,1,0,0,0,1,1,1
10,350,540,85873,261,0,0,44,86,60,0,350,0,0,0,0,0,0,1,1,1,0,0,0
11,438,634,47465,349,0,16,28,36,116,0,438,1,1,1,0,0,0,1,1,1,1,1,1
12,412,648,72273,307,0,12,42,96,86,0,412,0,0,0,1,1,1,1,1,1,1,1,1
13,397,623,79703,304,0,12,50,108,56,0,397,1,1,1,0,0,0,1,1,1,0,0,0
14,278,380,86331,231,0,6,30,38,28,0,278,1,1,1,0,0,0,0,0,0,1,1,1
15,587,1063,55769,395,6,56,136,128,150,0,587,1,1,1,1,1,1,3,9,1,1,1,1
16,432,742,58849,306,8,32,50,110,110,0,432,1,1,1,1,1,1,0,0,0,2,4,1
17,381,679,69575,261,0,8,50,102,138,0,381,1,1,1,0,0,0,2,4,1,1,1,1
18,372,606,69339,288,0,8,44,84,98,0,372,0,0,0,1,1,1,1,1,1,4,16,1
19,532,780,42035,422,2,18,80,110,38,0,532,0,0,0,1,1,1,1,1,1,1,1,1
20,255,327,86565,222,0,8,12,28,24,0,255,0,0,0,0,0,0,0,0,0,1,1,1
21,221,255,85825,204,0,0,0,4,30,0,221,1,1,1,1,1,1,0,0,0,0,0,0
22,518,690,42799,436,2,8,36,76,50,0,518,0,0,0,0,0,0,0,0,0,1,1,1
23,434,584,49967,364,0,12,34,44,60,0,434,1,1,1,0,0,0,2,4,1,0,0,0
24,409,655,64985,302,0,8,36,80,122,0,409,1,1,1,0,0,0,0,0,0,0,0,0
25,340,496,65505,269,0,8,18,46,84,0,340,0,0,0,0,0,0,0,0,0,1,1,1
26,197,239,83099,176,0,2,0,18,22,0,197,0,0,0,0,0,0,0,0,0,0,0,0
27,210,306,147979,162,0,2,10,20,64,0,210,0,0,0,1,1,1,0,0,0,0,0,0
28,206,324,120715,156,0,0,18,34,66,0,206,2,4,1,2,4,1,0,0,0,0,0,0
29,408,652,56549,308,0,4,50,62,128,0,408,0,0,0,1,1,1,0,0,0,0,0,0
30,189,343,125881,131,0,0,4,48,102,0,189,0,0,0,0,0,0,0,0,0,1,1,1
31,457,763,55897,346,6,36,70,118,76,0,457,0,0,0,0,0,0,0,0,0,1,1,1
32,468,660,41145,377,0,2,24,46,120,0,468,1,1,1,0,0,0,1,1,1,0,0,0
33,342,528,70223,263,0,14,26,50,96,0,342,0,0,0,0,0,0,0,0,0,1,1,1
34,294,404,80355,244,0,2,12,44,52,0,294,0,0,0,0,0,0,0,0,0,0,0,0
35,541,893,40063,395,4,38,70,126,114,0,541,0,0,0,0,0,0,1,1,1,1,1,1
36,295,449,93255,231,0,0,10,44,100,0,295,0,0,0,0,0,0,0,0,0,0,0,0
37,471,737,49261,350,8,16,48,114,80,0,471,0,0,0,0,0,0,1,1,1,1,1,1
38,318,612,95665,217,0,6,40,106,142,0,318,1,1,1,0,0,0,1,1,1,0,0,0
39,66,94,488891,52,2,4,0,0,22,0,66,1,1,1,0,0,0,0,0,0,0,0,0
40,496,728,42205,396,4,36,52,98,42,0,496,0,0,0,0,0,0,2,4,1,1,1,1
41,222,302,101347,186,0,2,22,18,38,0,222,1,1,1,1,1,1,0,0,0,0,0,0
42,293,409,82015,241,0,6,30,52,28,0,293,0,0,0,0,0,0,0,0,0,0,0,0
43,364,470,68181,316,0,0,12,44,50,0,364,0,0,0,0,0,0,0,0,0,0,0,0
44,458,648,53843,372,0,12,34,94,50,0,458,1,1,1,0,0,0,1,1,1,0,0,0
45,343,429,49647,302,0,0,16,60,10,0,343,1,1,1,0,0,0,0,0,0,0,0,0
46,206,424,220117,130,0,10,24,46,138,0,206,0,0,0,0,0,0,0,0,0,0,0,0
47,470,712,46813,367,0,6,38,76,122,0,470,2,4,1,0,0,0,1,1,1,1,1,1
48,408,564,56575,342,0,0,32,46,78,0,408,1,1,1,0,0,0,0,0,0,0,0,0
49,508,844,42373,363,2,26,72,62,174,0,508,1,1,1,1,1,1,0,0,0,0,0,0
50,484,724,45961,378,0,12,38,58,132,0,484,1,1,1,1,1,1,0,0,0,1,1,1
51,263,363,132073,218,0,6,16,30,48,0,263,0,0,0,0,0,0,0,0,0,1,1,1
