host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,945,1145,19557,854,0,0,0,8,22,114,56,0,945,0,0,0,0,0,0,0,0,0,0,0,0
1,1088,1248,15497,1015,0,0,0,8,12,34,106,0,1088,0,0,0,0,0,0,0,0,0,0,0,0
2,1027,1131,17331,977,0,0,0,0,12,38,54,0,1027,0,0,0,0,0,0,0,0,0,0,0,0
3,434,566,49175,368,0,0,0,0,0,2,130,0,434,0,0,0,0,0,0,0,0,0,0,0,0
4,964,1198,17449,848,0,0,0,0,2,18,214,0,964,0,0,0,0,0,0,0,0,0,0,0,0
5,1332,1370,11009,1313,0,0,0,0,4,26,8,0,1332,0,0,0,0,0,0,0,0,0,0,0,0
6,655,731,26389,622,0,0,0,0,2,16,58,0,655,0,0,0,0,0,0,0,0,0,0,0,0
7,1280,1446,14835,1201,0,0,0,2,34,80,50,0,1280,0,0,0,1,1,1,2,4,1,0,0,0
8,556,748,31015,460,0,0,0,0,0,94,98,0,556,0,0,0,0,0,0,0,0,0,0,0,0
9,736,818,20239,696,0,0,0,0,2,6,74,0,736,0,0,0,0,0,0,0,0,0,0,0,0
10,924,1090,18643,841,0,0,0,0,26,12,128,0,924,0,0,0,0,0,0,0,0,0,0,0,0
11,360,376,43363,352,0,0,0,0,0,4,12,0,360,0,0,0,0,0,0,0,0,0,0,0,0
12,1336,1514,11567,1250,0,0,2,2,24,48,102,0,1336,0,0,0,0,0,0,0,0,0,0,0,0
13,641,667,24411,628,0,0,0,0,8,6,12,0,641,0,0,0,0,0,0,0,0,0,0,0,0
14,462,482,36055,452,0,0,0,0,0,0,20,0,462,0,0,0,0,0,0,0,0,0,0,0,0
