host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,52,54,1292,51,0,0,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0
1,83,113,1022,69,0,0,0,2,28,0,83,1,1,1,0,0,0,0,0,0,0,0,0
2,43,83,2238,27,0,0,4,0,36,0,43,0,0,0,0,0,0,0,0,0,0,0,0
3,29,29,2368,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
4,59,59,1172,59,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
5,111,113,528,110,0,0,0,0,2,0,111,0,0,0,0,0,0,0,0,0,0,0,0
6,110,136,794,100,0,0,0,2,24,0,110,0,0,0,0,0,0,0,0,0,0,0,0
7,100,112,680,94,0,0,0,10,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0
8,121,155,732,105,0,0,0,2,32,0,121,0,0,0,0,0,0,1,1,1,0,0,0
9,84,86,738,83,0,0,0,0,2,0,84,0,0,0,0,0,0,0,0,0,0,0,0
10,68,76,1234,64,0,0,0,2,6,0,68,0,0,0,0,0,0,0,0,0,0,0,0
11,27,33,3084,24,0,0,0,4,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0
12,93,103,680,88,0,0,0,0,10,0,93,0,0,0,1,1,1,0,0,0,0,0,0
13,45,51,1578,42,0,0,0,0,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0
14,46,64,1682,37,0,0,0,0,18,0,46,0,0,0,0,0,0,0,0,0,1,1,1
15,69,73,946,67,0,0,0,0,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0
16,92,114,862,82,0,0,2,14,6,0,92,0,0,0,0,0,0,0,0,0,0,0,0
17,72,76,900,70,0,0,0,4,0,0,72,0,0,0,0,0,0,0,0,0,1,1,1
18,117,135,610,109,0,0,2,6,10,0,117,0,0,0,0,0,0,0,0,0,0,0,0
19,99,111,784,93,0,0,0,2,10,0,99,0,0,0,0,0,0,0,0,0,0,0,0
20,106,106,586,106,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0
21,106,122,696,99,0,0,2,4,10,0,106,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,3054,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
23,74,78,950,72,0,0,0,2,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0
24,91,93,912,90,0,0,2,0,0,0,91,0,0,0,0,0,0,1,1,1,0,0,0
25,84,100,912,76,0,0,0,2,14,0,84,0,0,0,0,0,0,0,0,0,0,0,0
26,67,67,984,67,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
27,61,61,1074,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
28,92,110,764,83,0,0,0,6,12,0,92,0,0,0,0,0,0,0,0,0,0,0,0
29,89,97,730,85,0,0,0,4,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0
30,69,79,974,64,0,0,0,6,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0
31,91,111,760,81,0,0,2,4,14,0,91,0,0,0,0,0,0,0,0,0,0,0,0
32,49,67,1686,40,0,0,0,0,18,0,49,0,0,0,0,0,0,0,0,0,0,0,0
33,72,90,1042,63,0,0,2,0,16,0,72,0,0,0,0,0,0,0,0,0,0,0,0
34,73,77,878,71,0,0,2,2,0,0,73,0,0,0,1,1,1,0,0,0,0,0,0
35,103,139,744,85,0,0,0,10,26,0,103,0,0,0,0,0,0,1,1,1,0,0,0
36,83,85,760,82,0,0,0,0,2,0,83,0,0,0,0,0,0,0,0,0,0,0,0
37,129,147,508,120,0,0,0,8,10,0,129,0,0,0,0,0,0,0,0,0,0,0,0
38,125,133,496,121,0,0,0,2,6,0,125,0,0,0,0,0,0,0,0,0,0,0,0
39,138,160,512,128,0,0,0,8,14,0,138,0,0,0,0,0,0,0,0,0,1,1,1
40,45,47,1484,44,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0
41,68,90,1152,58,0,0,0,2,20,0,68,0,0,0,0,0,0,0,0,0,1,1,1
42,121,125,492,119,0,0,0,2,2,0,121,0,0,0,0,0,0,0,0,0,0,0,0
43,138,146,508,134,0,0,0,4,4,0,138,0,0,0,1,1,1,0,0,0,0,0,0
44,54,56,1286,53,0,0,2,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
45,44,48,1426,42,0,0,0,0,4,0,44,1,1,1,0,0,0,0,0,0,0,0,0
46,69,81,1140,63,0,0,0,0,12,0,69,0,0,0,0,0,0,0,0,0,0,0,0
47,79,91,938,74,0,0,0,0,12,0,79,0,0,0,0,0,0,1,1,1,0,0,0
48,110,112,558,109,0,0,0,2,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0
49,110,118,646,106,0,0,0,0,8,0,110,0,0,0,0,0,0,0,0,0,0,0,0
50,69,83,1074,62,0,0,0,0,14,0,69,0,0,0,0,0,0,0,0,0,0,0,0
51,149,159,410,145,0,0,2,4,4,0,149,0,0,0,0,0,0,0,0,0,0,0,0
52,69,77,1014,65,0,0,0,4,4,0,69,0,0,0,1,1,1,0,0,0,0,0,0
53,43,43,1522,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
