host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
7,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
8,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
9,4,4,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10,6,6,9,6,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0
11,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
12,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
13,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
14,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
15,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
16,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
18,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1
19,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
21,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
22,3,3,27,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
23,4,4,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
24,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
25,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
26,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
27,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
28,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
29,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
30,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
31,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
32,4,4,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
33,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
34,4,4,13,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
35,4,4,15,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
36,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
37,6,6,9,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
38,5,5,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
39,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
40,7,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
