host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,5611,8425,317648,4449,0,2,50,234,382,702,1444,0,5611,0,0,0,0,0,0,0,0,0,0,0,0
1,2936,4470,540682,2317,0,0,2,22,104,354,1052,0,2936,0,0,0,0,0,0,0,0,0,0,0,0
2,1682,1930,923642,1569,0,0,4,38,90,44,72,0,1682,0,0,0,0,0,0,0,0,0,0,0,0
3,5804,8422,312666,4766,0,0,26,158,534,642,1258,0,5804,1,1,1,0,0,0,1,1,1,0,0,0
4,3525,4037,454836,3271,0,0,4,10,68,124,306,0,3525,0,0,0,0,0,0,0,0,0,0,0,0
5,5513,7127,269690,4792,0,10,20,134,186,436,828,0,5513,0,0,0,0,0,0,0,0,0,0,0,0
6,4339,5283,307582,3917,0,0,54,142,186,236,326,0,4339,0,0,0,0,0,0,0,0,0,0,0,0
7,4393,6681,392570,3441,0,4,44,134,314,856,936,0,4393,0,0,0,1,1,1,1,1,1,2,4,1
8,5983,8685,255452,4843,0,10,100,320,552,586,1134,0,5983,0,0,0,0,0,0,0,0,0,0,0,0
9,4245,5185,336980,3833,0,0,14,88,130,368,340,0,4245,0,0,0,0,0,0,0,0,0,1,1,1
10,3602,4840,459960,3071,0,0,8,64,168,362,636,0,3602,1,1,1,0,0,0,2,4,1,0,0,0
11,3215,4851,444630,2524,0,4,6,46,148,354,1078,0,3215,0,0,0,0,0,0,0,0,0,0,0,0
12,3946,4550,405658,3652,0,0,4,30,188,214,168,0,3946,0,0,0,0,0,0,0,0,0,0,0,0
13,5786,7394,253274,5059,0,4,26,102,272,320,884,0,5786,0,0,0,0,0,0,0,0,0,0,0,0
14,7151,9501,173852,6043,0,10,32,144,186,604,1374,0,7151,0,0,0,0,0,0,0,0,0,0,0,0
15,2968,4034,460606,2509,0,0,6,30,96,238,696,0,2968,0,0,0,0,0,0,0,0,0,0,0,0
16,4210,5252,429002,3713,0,0,0,70,138,430,404,0,4210,0,0,0,0,0,0,0,0,0,0,0,0
17,5641,8757,284410,4389,0,2,92,312,744,1104,862,0,5641,0,0,0,1,1,1,0,0,0,0,0,0
18,3971,4751,421048,3599,0,2,24,160,204,286,104,0,3971,0,0,0,0,0,0,1,1,1,0,0,0
19,4997,6117,263932,4486,0,2,16,52,176,236,638,0,4997,0,0,0,0,0,0,0,0,0,0,0,0
20,1518,2024,1171256,1292,0,4,24,60,58,110,250,0,1518,0,0,0,0,0,0,0,0,0,0,0,0
21,6006,9866,262548,4399,0,0,16,70,260,678,2836,0,6006,0,0,0,0,0,0,0,0,0,0,0,0
22,4596,5250,282296,4285,0,0,18,40,126,256,214,0,4596,0,0,0,0,0,0,0,0,0,0,0,0
23,5687,9589,303540,4134,0,8,72,228,480,800,2314,0,5687,0,0,0,1,1,1,0,0,0,0,0,0
24,4299,5825,325146,3601,0,0,16,44,114,340,1012,0,4299,0,0,0,0,0,0,0,0,0,0,0,0
25,1444,2688,1584460,967,0,6,16,30,94,220,878,0,1444,0,0,0,0,0,0,0,0,0,0,0,0
26,4556,6522,335166,3748,0,2,68,238,370,444,844,0,4556,0,0,0,0,0,0,0,0,0,0,0,0
27,4429,5075,319932,4123,0,6,14,46,122,236,222,0,4429,0,0,0,0,0,0,0,0,0,0,0,0
28,3735,4555,458190,3361,0,4,24,86,250,282,174,0,3735,0,0,0,0,0,0,0,0,0,0,0,0
29,4175,4909,341784,3827,0,0,4,8,76,300,346,0,4175,0,0,0,0,0,0,0,0,0,0,0,0
30,5175,7375,314526,4257,0,12,56,236,374,610,912,0,5175,0,0,0,0,0,0,0,0,0,0,0,0
31,3318,4906,469030,2636,0,0,8,72,208,316,984,0,3318,0,0,0,0,0,0,0,0,0,1,1,1
32,3160,4410,394354,2570,0,0,6,22,42,106,1074,0,3160,0,0,0,0,0,0,0,0,0,0,0,0
33,3127,3883,595638,2760,0,0,0,6,100,204,446,0,3127,0,0,0,0,0,0,0,0,0,0,0,0
34,2438,3448,705610,1998,0,0,4,46,184,380,396,0,2438,0,0,0,0,0,0,0,0,0,1,1,1
