host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,1967,2097,166144,1905,0,0,0,10,32,70,18,0,1967,0,0,0,0,0,0,0,0,0,0,0,0
1,2660,3304,151988,2373,0,0,4,34,82,126,398,0,2660,0,0,0,0,0,0,0,0,0,0,0,0
2,3532,4190,105402,3230,0,0,2,26,98,236,296,0,3532,0,0,0,1,1,1,0,0,0,0,0,0
3,2521,2979,126276,2313,0,2,20,44,88,138,166,0,2521,0,0,0,0,0,0,0,0,0,0,0,0
4,2575,2661,130948,2532,0,0,2,6,8,46,24,0,2575,0,0,0,0,0,0,0,0,0,0,0,0
5,4552,5296,72744,4195,0,2,4,48,150,250,290,0,4552,0,0,0,0,0,0,0,0,0,0,0,0
6,1759,2581,285152,1454,0,0,6,48,128,278,362,0,1759,0,0,0,0,0,0,0,0,0,0,0,0
7,1266,1476,347588,1172,0,0,0,10,40,50,110,0,1266,0,0,0,0,0,0,0,0,0,0,0,0
8,2532,2752,154336,2425,0,0,0,8,12,66,134,0,2532,0,0,0,0,0,0,0,0,0,0,0,0
9,2135,2409,145470,2001,0,0,0,4,38,54,178,0,2135,0,0,0,0,0,0,0,0,0,0,0,0
10,3514,4118,102320,3228,0,0,12,64,92,226,210,0,3514,0,0,0,0,0,0,0,0,0,0,0,0
11,4527,5609,72374,4074,0,0,12,44,232,282,512,0,4527,0,0,0,0,0,0,0,0,0,0,0,0
12,2449,2861,143736,2254,0,0,2,18,40,34,318,0,2449,0,0,0,0,0,0,1,1,1,0,0,0
13,2400,3128,149174,2057,0,0,0,8,44,180,496,0,2400,0,0,0,0,0,0,0,0,0,0,0,0
14,3615,4201,108216,3349,0,0,0,22,100,236,228,0,3615,0,0,0,0,0,0,0,0,0,0,0,0
15,3322,4024,92442,2982,0,0,4,28,36,164,470,0,3322,0,0,0,0,0,0,0,0,0,0,0,0
16,2936,3322,122684,2749,0,2,34,30,66,106,148,0,2936,0,0,0,0,0,0,0,0,0,0,0,0
17,2655,2987,145752,2494,0,0,2,8,52,160,110,0,2655,0,0,0,2,4,1,0,0,0,0,0,0
18,3077,3421,115308,2908,0,0,10,30,70,112,122,0,3077,0,0,0,0,0,0,0,0,0,0,0,0
19,2562,3008,122086,2348,0,0,0,4,24,86,332,0,2562,0,0,0,0,0,0,0,0,0,0,0,0
20,1846,2692,244700,1494,0,0,8,62,106,238,432,0,1846,0,0,0,0,0,0,0,0,0,0,0,0
21,853,915,397914,822,0,0,0,0,0,4,58,0,853,1,1,1,0,0,0,0,0,0,0,0,0
22,894,1002,512666,844,0,0,0,0,24,68,16,0,894,0,0,0,0,0,0,0,0,0,0,0,0
23,1123,1237,296446,1067,0,0,0,6,38,58,12,0,1123,0,0,0,0,0,0,0,0,0,0,0,0
24,1877,2247,224684,1700,0,0,0,6,80,144,140,0,1877,0,0,0,0,0,0,0,0,0,0,0,0
25,1462,1546,226656,1421,0,0,0,2,20,30,32,0,1462,0,0,0,0,0,0,0,0,0,0,0,0
26,1006,1376,385716,835,0,0,0,16,4,74,276,0,1006,0,0,0,0,0,0,0,0,0,0,0,0
27,2324,2746,162934,2122,0,4,12,14,34,126,232,0,2324,0,0,0,0,0,0,0,0,0,0,0,0
28,1649,2095,225214,1469,0,0,0,34,62,160,190,0,1649,0,0,0,0,0,0,0,0,0,0,0,0
29,3008,3660,119112,2713,0,0,0,42,180,198,232,0,3008,0,0,0,0,0,0,0,0,0,0,0,0
30,2486,2686,135178,2387,0,0,0,0,16,32,152,0,2486,0,0,0,0,0,0,0,0,0,0,0,0
31,1711,2373,230512,1438,0,0,2,6,68,114,472,0,1711,0,0,0,0,0,0,0,0,0,0,0,0
32,2434,3038,153524,2155,0,0,0,4,50,126,424,0,2434,0,0,0,0,0,0,0,0,0,0,0,0
33,4414,5546,72660,3874,0,0,24,40,102,300,666,0,4414,0,0,0,0,0,0,0,0,0,0,0,0
34,4330,5246,79238,3912,0,0,0,14,66,214,622,0,4330,0,0,0,0,0,0,1,1,1,0,0,0
